# en | da | de | pl | el | fr | es | it | sv | nl
# Sign-up, support, studio editor, studio dashboard, promotions
In-app payment isn't available yet. EasySesh sends you an invoice and switches the promotion on once it's paid. | Betaling i appen er ikke tilgængelig endnu. EasySesh sender dig en faktura og slår promoveringen til, når den er betalt. | Zahlung in der App ist noch nicht verfügbar. EasySesh schickt dir eine Rechnung und schaltet die Werbung nach Zahlung frei. | Płatność w aplikacji nie jest jeszcze dostępna. EasySesh wyśle fakturę i włączy promocję po opłaceniu. | Η πληρωμή στην εφαρμογή δεν είναι ακόμα διαθέσιμη. Το EasySesh σου στέλνει τιμολόγιο και ενεργοποιεί την προβολή μόλις πληρωθεί. | Le paiement dans l'app n'est pas encore disponible. EasySesh t'envoie une facture et active la mise en avant une fois payée. | El pago en la app aún no está disponible. EasySesh te envía una factura y activa la promoción cuando se paga. | Il pagamento in app non è ancora disponibile. EasySesh ti invia una fattura e attiva la promozione una volta pagata. | Betalning i appen är inte tillgänglig än. EasySesh skickar en faktura och aktiverar marknadsföringen när den är betald. | Betalen in de app kan nog niet. EasySesh stuurt je een factuur en zet de promotie aan zodra die betaald is.
Your studio is promoted | Dit studie er promoveret | Dein Studio wird beworben | Twoje studio jest promowane | Το στούντιό σου προβάλλεται | Ton studio est mis en avant | Tu estudio está promocionado | Il tuo studio è in evidenza | Din studio marknadsförs | Je studio is uitgelicht
Until %@ | Indtil %@ | Bis %@ | Do %@ | Έως %@ | Jusqu'au %@ | Hasta el %@ | Fino al %@ | Till %@ | Tot %@
Order waiting for payment | Bestilling afventer betaling | Bestellung wartet auf Zahlung | Zamówienie czeka na płatność | Η παραγγελία περιμένει πληρωμή | Commande en attente de paiement | Pedido pendiente de pago | Ordine in attesa di pagamento | Beställning väntar på betalning | Bestelling wacht op betaling
Pay now to start your promotion right away. | Betal nu for at starte din promovering med det samme. | Bezahle jetzt, damit deine Werbung sofort startet. | Zapłać teraz, aby od razu rozpocząć promocję. | Πλήρωσε τώρα για να ξεκινήσει αμέσως η προβολή. | Paie maintenant pour démarrer tout de suite. | Paga ahora para empezar la promoción ya. | Paga ora per avviare subito la promozione. | Betala nu för att starta direkt. | Betaal nu om je promotie meteen te starten.
EasySesh sends you an invoice and switches the promotion on once it's paid. | EasySesh sender dig en faktura og slår promoveringen til, når den er betalt. | EasySesh schickt dir eine Rechnung und schaltet die Werbung nach Zahlung frei. | EasySesh wyśle fakturę i włączy promocję po opłaceniu. | Το EasySesh σου στέλνει τιμολόγιο και ενεργοποιεί την προβολή μόλις πληρωθεί. | EasySesh t'envoie une facture et active la mise en avant une fois payée. | EasySesh te envía una factura y activa la promoción cuando se paga. | EasySesh ti invia una fattura e attiva la promozione una volta pagata. | EasySesh skickar en faktura och aktiverar marknadsföringen när den är betald. | EasySesh stuurt je een factuur en zet de promotie aan zodra die betaald is.
Cancel order | Annullér bestilling | Bestellung stornieren | Anuluj zamówienie | Ακύρωση παραγγελίας | Annuler la commande | Cancelar pedido | Annulla ordine | Avbryt beställning | Bestelling annuleren
Pay now | Betal nu | Jetzt bezahlen | Zapłać teraz | Πλήρωσε τώρα | Payer maintenant | Pagar ahora | Paga ora | Betala nu | Nu betalen
We've received your order. You'll get an invoice by email, and the promotion starts once it's paid. | Vi har modtaget din bestilling. Du får en faktura på e-mail, og promoveringen starter, når den er betalt. | Wir haben deine Bestellung erhalten. Du bekommst eine Rechnung per E-Mail, und die Werbung startet nach Zahlung. | Otrzymaliśmy zamówienie. Fakturę dostaniesz e-mailem, a promocja ruszy po opłaceniu. | Λάβαμε την παραγγελία σου. Θα πάρεις τιμολόγιο με email και η προβολή ξεκινά μόλις πληρωθεί. | Nous avons reçu ta commande. Tu recevras une facture par e-mail et la mise en avant démarrera une fois payée. | Hemos recibido tu pedido. Recibirás una factura por correo y la promoción empezará cuando se pague. | Abbiamo ricevuto l'ordine. Riceverai una fattura via email e la promozione partirà una volta pagata. | Vi har tagit emot din beställning. Du får en faktura via e-post, och marknadsföringen startar när den är betald. | We hebben je bestelling ontvangen. Je krijgt een factuur per e-mail en de promotie start zodra die betaald is.
Waiting for payment | Afventer betaling | Wartet auf Zahlung | Czeka na płatność | Αναμονή πληρωμής | En attente de paiement | Pendiente de pago | In attesa di pagamento | Väntar på betalning | Wacht op betaling
Ended | Afsluttet | Beendet | Zakończona | Έληξε | Terminée | Finalizada | Terminata | Avslutad | Afgelopen
Your artist profile | Din kunstnerprofil | Dein Artist-Profil | Twój profil artysty | Το προφίλ σου ως καλλιτέχνη | Ton profil d'artiste | Tu perfil de artista | Il tuo profilo artista | Din artistprofil | Je artiestenprofiel
Are you an artist too? Connect your artist profile: it's shown on your studio page, and your studio on your artist profile. | Er du også kunstner? Tilknyt din kunstnerprofil: den vises på din studieside, og dit studie på din kunstnerprofil. | Bist du auch Artist? Verbinde dein Artist-Profil: Es erscheint auf deiner Studioseite und dein Studio auf deinem Artist-Profil. | Jesteś też artystą? Połącz swój profil artysty: pojawi się na stronie studia, a studio na Twoim profilu. | Είσαι και καλλιτέχνης; Σύνδεσε το προφίλ σου: θα εμφανίζεται στη σελίδα του στούντιο και το στούντιο στο προφίλ σου. | Tu es aussi artiste ? Relie ton profil d'artiste : il s'affiche sur la page de ton studio, et ton studio sur ton profil. | ¿También eres artista? Conecta tu perfil de artista: aparecerá en la página de tu estudio y tu estudio en tu perfil. | Sei anche un artista? Collega il tuo profilo artista: comparirà sulla pagina dello studio, e lo studio sul tuo profilo. | Är du också artist? Koppla din artistprofil: den visas på din studiosida och studion på din artistprofil. | Ben je ook artiest? Koppel je artiestenprofiel: het staat op je studiopagina, en je studio op je artiestenprofiel.
Connected | Tilknyttet | Verbunden | Połączono | Συνδέθηκε | Relié | Conectado | Collegato | Kopplad | Gekoppeld
Waiting for the artist to confirm in their profile | Venter på, at kunstneren bekræfter i sin profil | Wartet auf Bestätigung im Artist-Profil | Czeka na potwierdzenie artysty w jego profilu | Αναμονή επιβεβαίωσης από τον καλλιτέχνη στο προφίλ του | En attente de confirmation de l'artiste dans son profil | Esperando a que el artista lo confirme en su perfil | In attesa della conferma dell'artista nel suo profilo | Väntar på att artisten bekräftar i sin profil | Wacht op bevestiging van de artiest in zijn profiel
Remove connection | Fjern tilknytning | Verbindung entfernen | Usuń połączenie | Κατάργηση σύνδεσης | Supprimer le lien | Quitar conexión | Rimuovi collegamento | Ta bort koppling | Koppeling verwijderen
Cancel request | Annullér forespørgsel | Anfrage zurückziehen | Anuluj prośbę | Ακύρωση αιτήματος | Annuler la demande | Cancelar solicitud | Annulla richiesta | Avbryt förfrågan | Aanvraag annuleren
Search your artist name | Søg på dit kunstnernavn | Suche deinen Künstlernamen | Wyszukaj swój pseudonim | Αναζήτησε το καλλιτεχνικό σου όνομα | Cherche ton nom d'artiste | Busca tu nombre artístico | Cerca il tuo nome d'arte | Sök ditt artistnamn | Zoek je artiestennaam
The artist has to confirm the connection from their profile, so only your own profile can be connected. | Kunstneren skal bekræfte tilknytningen fra sin profil, så kun din egen profil kan tilknyttes. | Der Artist muss die Verbindung in seinem Profil bestätigen, daher kann nur dein eigenes Profil verbunden werden. | Artysta musi potwierdzić połączenie w swoim profilu, więc można połączyć tylko własny profil. | Ο καλλιτέχνης πρέπει να επιβεβαιώσει τη σύνδεση από το προφίλ του, οπότε συνδέεται μόνο το δικό σου προφίλ. | L'artiste doit confirmer le lien depuis son profil, donc seul ton propre profil peut être relié. | El artista debe confirmar la conexión desde su perfil, así que solo puedes conectar tu propio perfil. | L'artista deve confermare il collegamento dal suo profilo, quindi puoi collegare solo il tuo. | Artisten måste bekräfta kopplingen i sin profil, så bara din egen profil kan kopplas. | De artiest moet de koppeling in zijn profiel bevestigen, dus alleen je eigen profiel kan gekoppeld worden.
Connect | Tilknyt | Verbinden | Połącz | Σύνδεση | Relier | Conectar | Collega | Koppla | Koppelen
